isBinaryCheck, sfObject, correctValue, issue, severity, description, notes, references, findingID
yes,enableContentSniffingProtection,true,Content Sniffing Protection,Low,...TBC...,...TBC...,https://google.com,4444
yes,enableManualUserRecordSharing,false,Users Can Share Their Record,Informational,...TBC...,...TBC...,https://google.com,4444
yes,enableStandardReportVisibility,false,Reports Can Show Excessive User Information,Informational,...TBC...,...TBC...,https://google.com,4444
no,sessionTimeout,Minutes,Session Timeout Too Long,Low,...TBC...,...TBC...,https://google.com,4444
yes,enableClickjackNonsetupSFDC,true,Enable clickjack protection for non-Setup Salesforce pages,Medium,...TBC...,...TBC...,https://google.com,4444
yes,enableClickjackNonsetupUser,true,Enable clickjack protection for customer Visualforce pages with standard headers,Medium,...TBC...,...TBC...,https://google.com,4444
yes,enableClickjackNonsetupUserHeaderless,true,Enable clickjack protection for customer Visualforce pages with headers disabled,Medium,...TBC...,...TBC...,https://google.com,4444
yes,enableClickjackSetup,true,Enable clickjack protection for Setup pages,Medium,...TBC...,...TBC...,https://google.com,4444
yes,enableCoepHeader,true,Cross-Origin Embedder Policy (COEP),Informational,...TBC...,...TBC...,https://google.com,4444
yes,enableCoopHeader,true,Cross-Origin Opener Policy (COOP),Informational,...TBC...,...TBC...,https://google.com,4444
yes,enableOauthCorsPolicy,true,CORS for OAuth endpoints,Informational,...TBC...,...TBC...,https://google.com,4444
yes,enableConcealPersonalInfo,true,User PII Concealment,Informational,...TBC...,NOTE: Ignore this if enableEnhancedConcealPersonalInfo is set to true,https://google.com,4444
yes,restrictedProfileCloning,true,Profile Cloning Not Restricted,Informational,...TBC...,...TBC...,https://google.com,4444
yes,enableRestrictEmailDomains,true,Email Domains Not Restricted,Medium,...TBC...,...TBC...,https://google.com,4444
yes,enableAdvancedCMTSecurity,true,Restricted Access to Custom Metadata Types,Low,...TBC...,...TBC...,https://google.com,4444
yes,enableAdvancedCSSecurity,true,Restrict Access to Custom Settings,Low,...TBC...,...TBC...,https://google.com,4444
yes,enableConsentEventStream,true,Consent Change Tracking,Informational,...TBC...,...TBC...,https://google.com,4444
yes,clickjackSSPLoginPage,true,Clickjack Protection on Portal Login Page,Low,...TBC...,...TBC...,https://google.com,4444
yes,redirectPortalLoginToHttps,true,Redirect Portal Login to HTTPS,Low,...TBC...,...TBC...,https://google.com,4444
yes,enableEventBusEncryption,true,Enable Encryption for Event Bus?,Low,...TBC...,...TBC...,https://google.com,4444
yes,enableConsentManagement,true,Enable Consent Management,Medium,...TBC...,Setting this field to false purges all data protection details such as privacy preferences and stored consent forms,https://google.com,4444
yes,enableOpportunityFieldHistoryTracking,true,Enable Field History for Opportunities,Informational,...TBC...,This is on the edge of not being included but I like logging,https://developer.salesforce.com/docs/atlas.en-us.api_meta.meta/api_meta/meta_opportunityssettings.htm,4444
yes,enableOmniAutoLoginPrompt,true,Limits Omni-Channel sessions to one per user,Low,...TBC...,I'm happy to remove this if deemed silly but I don't mind it,https://google.com,4444
yes,enableMobileAppPushNotifications,true,Enable Push Notifications to Mobile,Low,Are push notifications enabled for mobile devices,This should be true,https://developer.salesforce.com/docs/atlas.en-us.api_meta.meta/api_meta/meta_notificationssettings.htm,4444
yes,enableNotifications,true,Enable Notifications,Medium,Notifications for Salesforce,...TBC...,https://developer.salesforce.com/docs/atlas.en-us.api_meta.meta/api_meta/meta_notificationssettings.htm,4444
yes,canOnlyLoginWithMyDomainUrl,true,Users can Only Login using MyDomain custom URL,Informational,...TBC...,Consider less password sprayability by limiting login interfaces,https://google.com,4444
yes,doesApiLoginRequireOrgDomain,true,API Users can Only Login using MyDomain custom URL,Informational,...TBC...,Consider less password sprayability by limiting login interfaces,https://google.com,4444
yes,doesTrackHistory,true,Enable Field History for Leads,Informational,...TBC...,Logging,https://developer.salesforce.com/docs/atlas.en-us.api_meta.meta/api_meta/meta_leadconfigsettings.htm,4444
yes,enableIncidentMgmt,true,Enable Incident Management for Incidents?,Informational,...TBC...,Logging...,https://google.com,4444
yes,enableDeleteMonitoringData,false,Users can Delete Event Log Files,Medium,...TBC...,Theoretically an adversary can delete login logs after compromising an account,https://google.com,4444
yes,bypassMeteringBlock,false,Transaction Security Policies Bypassable due to Metering,Medium,...TBC...,TSPs shouldnt be bypassable,https://google.com,4444
yes,enableLoginForensics,true,Track and Audit User Login Attempts,Medium,...TBC...,Monitoring of password attacks and login failures,https://google.com,4444
yes,enableTerminateOldestSession,false,Terminate Oldest User Session on Max Sessions Reached,Low,...TBC...,My logic is that an adversary can disallow valid user logins by taking up all allowed sessions post compromise,https://google.com,4444
yes,enableTransactionSecurityPolicies,true,Transaction Security Policies Not Enabled,Medium,...TBC...,Note more research is required here,https://google.com,4444
yes,enableReplayDetection,true,Cache-only Key Callouts Protected from Replay Attacks,Low,...TBC...,Note more research is required here,https://google.com,4444
yes,doesGmailStayConnectedToSalesforce,false,Salesforce remembers Gmail Credentials,Low,...TBC...,This seems like a post-compromise issue,https://google.com,4444
yes,shouldUseTrustedDomainsList,true,Web Domains using Outlook integration must be on Trusted List?,Low,...TBC...,Note more research is required here,https://google.com,4444
yes,enableEmailSpfCompliance,true,Outgoing Emails Comply with SPF Email Authentication,Low,...TBC...,Note more research is required here,https://google.com,4444
yes,enableHtmlEmail,false,Email-To-Case Emails in Text Format,Low,...TBC...,No reason not to parse HTML emails to Text,https://google.com,4444
yes,enableRestrictTlsToDomains,false,TLS Restricted to Certain Domains,Medium,...TBC...,TLS should be enforced at all times and always,https://google.com,4444
yes,blockEmbeddedLoginUnknownURLRedirect,true,Block Redirects to Unknown URLs in OAuth Response,Informational,...TBC...,Note more research is required here,https://google.com,4444
yes,enableAccountHistoryTracking,true,History Tracking is Enabled for Accounts,Informational,...TBC...,Logging,https://google.com,4444
